site,date,day,tempHigh,tempLow,dewLow,dewHigh
KESTSABDC1,2016-07-27,14,97,81,60,74
KESTSABDC1,2016-08-08,15,92,70,56,68
KESTSABDC1,2016-08-09,16,81,68,62,75
KESTSABDC1,2016-08-10,17,95,77,71,75
KESTSABDC1,2016-08-11,18,97,78,70,75
KESTSABDC1,2016-08-12,19,99,81,73,78
KESTSABDC1,2016-08-13,20,101,81,74,78
KESTSABDC1,2016-08-14,21,100,80,68,77
KEYESUSMD1,2016-06-10,1,82,63,37,61
KEYESUSMD1,2016-06-11,2,96,66,58,70
KEYESUSMD1,2016-06-12,3,93,70,34,67
KEYESUSMD1,2016-06-13,4,81,64,42,55
KEYESUSMD1,2016-06-14,5,81,67,45,58
KEYESUSMD1,2016-06-15,6,83,66,58,68
KEYESUSMD1,2016-06-16,7,89,68,65,71
KEYESUSMD1,2016-07-20,8,89,70,59,70
KEYESUSMD1,2016-07-21,9,90,71,62,70
KEYESUSMD1,2016-07-22,10,95,74,68,72
KEYESUSMD1,2016-07-23,11,98,79,68,78
KEYESUSMD1,2016-07-24,12,97,80,64,76
KEYESUSMD1,2016-07-25,13,100,81,69,79
KEYESUSMD1,2016-07-26,14,98,80,64,73
KEYESUSMD1,2016-08-03,15,83,72,64,67
KEYESUSMD1,2016-08-04,16,86,70,59,67
KEYESUSMD1,2016-08-05,17,85,73,66,74
KEYESUSMD1,2016-08-06,18,94,75,69,76
KEYESUSMD1,2016-08-07,19,92,71,56,63
KEYESUSMD1,2016-08-08,20,92,70,56,68
KEYESUSMD1,2016-08-09,21,81,68,62,75
LANDCELVA1,2016-06-16,1,89,68,65,71
LANDCELVA1,2016-06-17,2,82,66,55,65
LANDCELVA1,2016-06-18,3,85,66,51,58
LANDCELVA1,2016-06-19,4,90,65,51,58
LANDCELVA1,2016-06-20,5,91,68,55,67
LANDCELVA1,2016-06-21,6,91,72,61,72
LANDCELVA1,2016-06-22,7,86,69,50,69
LANDCELVA1,2016-07-25,8,100,81,69,79
LANDCELVA1,2016-07-26,9,98,80,64,73
LANDCELVA1,2016-07-27,10,97,81,60,74
LANDCELVA1,2016-07-28,11,95,77,69,76
LANDCELVA1,2016-07-29,12,92,75,67,75
LANDCELVA1,2016-07-30,13,90,74,71,76
LANDCELVA1,2016-07-31,14,92,75,69,74
LANDCELVA1,2016-08-08,15,92,70,56,68
LANDCELVA1,2016-08-09,16,81,68,62,75
LANDCELVA1,2016-08-10,17,95,77,71,75
LANDCELVA1,2016-08-11,18,97,78,70,75
LANDCELVA1,2016-08-12,19,99,81,73,78
LANDCELVA1,2016-08-13,20,101,81,74,78
LANDCELVA1,2016-08-14,21,100,80,68,77
LEONTESDC1,2016-06-06,1,87,69,57,68
LEONTESDC1,2016-06-07,2,87,65,50,68
LEONTESDC1,2016-06-08,3,74,62,38,51
LEONTESDC1,2016-06-09,4,82,53,39,49
LEONTESDC1,2016-06-10,5,82,63,37,61
LEONTESDC1,2016-06-11,6,96,66,58,70
LEONTESDC1,2016-06-12,7,93,70,34,67
LEONTESDC1,2016-07-28,8,95,77,69,76
LEONTESDC1,2016-07-29,9,92,75,67,75
LEONTESDC1,2016-07-30,10,90,74,71,76
LEONTESDC1,2016-07-31,11,92,75,69,74
LEONTESDC1,2016-08-01,12,93,76,69,73
LEONTESDC1,2016-08-02,13,91,75,67,73
LEONTESDC1,2016-08-03,14,83,72,64,67
LEONTESDC1,2016-08-14,15,100,80,68,77
LEONTESDC1,2016-08-15,16,100,73,69,75
LEONTESDC1,2016-08-16,17,97,75,72,77
LEONTESDC1,2016-08-17,18,95,72,68,74
LEONTESDC1,2016-08-18,19,92,74,67,73
LEONTESDC1,2016-08-19,20,92,74,60,72
LEONTESDC1,2016-08-20,21,91,75,58,71
MANNJANDC1,2016-06-08,1,74,62,38,51
MANNJANDC1,2016-06-09,2,82,53,39,49
MANNJANDC1,2016-06-10,3,82,63,37,61
MANNJANDC1,2016-06-11,4,96,66,58,70
MANNJANDC1,2016-06-12,5,93,70,34,67
MANNJANDC1,2016-06-13,6,81,64,42,55
MANNJANDC1,2016-06-14,7,81,67,45,58
MANNJANDC1,2016-07-04,8,74,68,65,73
MANNJANDC1,2016-07-05,9,91,74,70,76
MANNJANDC1,2016-07-06,10,94,77,69,76
MANNJANDC1,2016-07-07,11,93,77,69,76
MANNJANDC1,2016-07-08,12,91,77,68,77
MANNJANDC1,2016-07-09,13,93,78,61,76
MANNJANDC1,2016-07-10,14,86,74,60,62
MANNJANDC1,2016-08-18,15,92,74,67,73
MANNJANDC1,2016-08-19,16,92,74,60,72
MANNJANDC1,2016-08-20,17,91,75,58,71
MANNJANDC1,2016-08-21,18,91,74,62,76
MANNJANDC1,2016-08-22,19,85,69,56,63
MANNJANDC1,2016-08-23,20,84,67,56,63
MANNJANDC1,2016-08-24,21,86,67,60,66
MCDOELIVA1,2016-06-30,1,84,65,53,67
MCDOELIVA1,2016-07-01,2,88,71,66,74
MCDOELIVA1,2016-07-02,3,80,70,50,70
MCDOELIVA1,2016-07-03,4,74,64,54,66
MCDOELIVA1,2016-07-04,5,74,68,65,73
MCDOELIVA1,2016-07-05,6,91,74,70,76
MCDOELIVA1,2016-07-06,7,94,77,69,76
MCDOELIVA1,2016-07-14,8,98,75,68,76
MCDOELIVA1,2016-07-15,9,94,76,62,70
MCDOELIVA1,2016-07-16,10,93,72,66,71
MCDOELIVA1,2016-07-17,11,93,71,61,72
MCDOELIVA1,2016-07-18,12,95,73,66,76
MCDOELIVA1,2016-07-19,13,92,70,63,73
MCDOELIVA1,2016-07-20,14,89,70,59,70
MCDOELIVA1,2016-08-01,15,93,76,69,73
MCDOELIVA1,2016-08-02,16,91,75,67,73
MCDOELIVA1,2016-08-03,17,83,72,64,67
MCDOELIVA1,2016-08-04,18,86,70,59,67
MCDOELIVA1,2016-08-05,19,85,73,66,74
MCDOELIVA1,2016-08-06,20,94,75,69,76
MCDOELIVA1,2016-08-07,21,92,71,56,63
MOLIKARMD1,2016-06-07,1,87,65,50,68
MOLIKARMD1,2016-06-08,2,74,62,38,51
MOLIKARMD1,2016-06-09,3,82,53,39,49
MOLIKARMD1,2016-06-10,4,82,63,37,61
MOLIKARMD1,2016-06-11,5,96,66,58,70
MOLIKARMD1,2016-06-12,6,93,70,34,67
MOLIKARMD1,2016-06-13,7,81,64,42,55
MOLIKARMD1,2016-07-08,8,91,77,68,77
MOLIKARMD1,2016-07-09,9,93,78,61,76
MOLIKARMD1,2016-07-10,10,86,74,60,62
MOLIKARMD1,2016-07-11,11,88,70,52,66
MOLIKARMD1,2016-07-12,12,87,73,62,71
MOLIKARMD1,2016-07-13,13,90,75,68,76
MOLIKARMD1,2016-07-14,14,98,75,68,76
MOLIKARMD1,2016-08-21,15,91,74,62,76
MOLIKARMD1,2016-08-22,16,85,69,56,63
MOLIKARMD1,2016-08-23,17,84,67,56,63
MOLIKARMD1,2016-08-24,18,86,67,60,66
MOLIKARMD1,2016-08-25,19,89,71,63,77
MOLIKARMD1,2016-08-26,20,95,77,65,75
